"left_loan_id","right_loan_id","left_path","right_path","ahash_hamming_distance","left_ahash","right_ahash"
"loan_012","loan_056","loan_012\face_signing.jpg","loan_056\face_signing.jpg","3","eec4d9d8de070707","e6c6d8d8de070707"
"loan_012","loan_055","loan_012\face_signing.jpg","loan_055\face_signing.jpg","5","eec4d9d8de070707","cec49998de8f0707"
"loan_016","loan_058","loan_016\face_signing.jpg","loan_058\face_signing.jpg","5","3923e37f4f8787c5","3323e77f4b878785"
"loan_023","loan_062","loan_023\face_signing.jpg","loan_062\face_signing.jpg","5","e8e8017d01838f0f","e8f8016d25830f0f"
"loan_042","loan_068","loan_042\face_signing.jpg","loan_068\face_signing.jpg","5","f8fc19d5c1818185","f0fc1dddc18181c7"
"loan_050","loan_074","loan_050\face_signing.jpg","loan_074\face_signing.jpg","5","c0d1dbee4f468701","d0d9cbef4fc68701"
"loan_053","loan_054","loan_053\face_signing.jpg","loan_054\face_signing.jpg","5","61e17f1707040404","61e1ff3f03040484"
"loan_005","loan_052","loan_005\face_signing.jpg","loan_052\face_signing.jpg","6","63636377f7412000","63636357ffc00010"
"loan_011","loan_054","loan_011\face_signing.jpg","loan_054\face_signing.jpg","6","2161ff1f87048484","61e1ff3f03040484"
"loan_011","loan_053","loan_011\face_signing.jpg","loan_053\face_signing.jpg","7","2161ff1f87048484","61e17f1707040404"
"loan_025","loan_063","loan_025\face_signing.jpg","loan_063\face_signing.jpg","7","fdc1e5e7e0c08282","fec0e7f7e0c08182"
"loan_035","loan_067","loan_035\face_signing.jpg","loan_067\face_signing.jpg","7","e1e3f7f7c1c1c1c1","21e3f7f781918181"
"loan_043","loan_071","loan_043\face_signing.jpg","loan_071\face_signing.jpg","7","fbfb3fff91900000","f93fffff91100000"
"loan_058","loan_059","loan_058\face_signing.jpg","loan_059\face_signing.jpg","7","3323e77f4b878785","0123677fcf878787"
"loan_001","loan_030","loan_001\face_signing.jpg","loan_030\face_signing.jpg","8","e3e3fffec7868080","c6e3e5fec5848080"
"loan_016","loan_059","loan_016\face_signing.jpg","loan_059\face_signing.jpg","8","3923e37f4f8787c5","0123677fcf878787"
"loan_042","loan_069","loan_042\face_signing.jpg","loan_069\face_signing.jpg","8","f8fc19d5c1818185","7cfc3dd583830185"
"loan_043","loan_070","loan_043\face_signing.jpg","loan_070\face_signing.jpg","8","fbfb3fff91900000","fbfffff990808000"
"loan_055","loan_056","loan_055\face_signing.jpg","loan_056\face_signing.jpg","8","cec49998de8f0707","e6c6d8d8de070707"
